date,Convertible.Arbitrage,CTA.Global,Distressed.Securities
2008-07-31,-0.0188,-0.0333,-0.0182
2008-08-31,-0.0066,-0.0114,-0.0072
2008-09-30,-0.1027,0.001,-0.0518
2008-10-31,-0.1237,0.0345,-0.0775
2008-11-30,-0.0276,0.0214,-0.0435
2008-12-31,0.0177,0.014,-0.0197
2009-01-31,0.0491,-0.0016,0.0082
2009-02-28,0.0164,-0.0031,-0.0122
2009-03-31,0.0235,-0.018,0.0022
2009-04-30,0.05,-0.014,0.0387
2009-05-31,0.0578,0.0213,0.0504
2009-06-30,0.0241,-0.0147,0.0198
2009-07-31,0.0611,-0.0012,0.0311
2009-08-31,0.0315,0.0054,0.0244
